"Nrpk";"Year";"Date";"Polig_nr";"Nr_4digitcode";"Approach";"Uniq_no";"Uniq_Rprog";"Unipntno";"Eksp_spp";"Exp_gr";"Mont_pnt";"Address";"Rel_type";"Status";"Usage";"Ul_mown";"Ul_graz";"Ul_aftmh";"Exp_opin";"Statuslet";"Luordap";"Transect_segment";"Transect_length";"Tr_length_m";"Str_score";"Spp_scortotal";"Spp_score50";"Totl_score";"Gr_qualit_exp";"Gr_qualit_farmer";"No_sp_plot";"aeup";"avul";"bmed";"camp";"cpan";"cvul";"cent";"chet";"cole";"dact";"ddel";"frag";"gbor";"gali";"gver";"gera";"geum";"hype";"isal";"karv";"lath";"lhis";"lvul";"lova";"lfos";"lsal";"mlup";"mela";"pilo";"psax";"pmed";"plat";"poly";"parg";"pere";"pver";"rhin";"ssyl";"sacr";"svir";"spra";"thal";"thym";"tpra";"trif";"tmon";"teur";"voff";"vlon";"vvul";"cumul_spno";"pairs";"avrg_spno_plot"
3581;2024;20240621;"6741_1";6741;"rez";"24_6741_1_b";"24_6741_1";"24_6741_1_b_1";"M_Medne";"exp1";1;"Lucija_Zarina";"basic_ZP";"Participant";"meadow";"no";"no";"no";"exp_average";"s";"DAP";50;"446.1090088";446;-5;"29";"29";"24";"bad";"na";4;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;1;5,6
3591;2024;20240621;"6741_2";6741;"rez";"24_6741_2_b";"24_6741_2";"24_6741_2_b_1";"M_Medne";"exp1";1;"Lucija_Zarina";"basic_ZP";"Participant";"meadow";"no";"no";"no";"exp_average";"s";"DAP";51;"456.1830139";456;-5;"34";"34";"29";"bad";"na";3;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;1;6,5
3601;2024;20240621;"6741_3";6741;"rez";"24_6741_3_b";"24_6741_3";"24_6741_3_b_1";"M_Medne";"exp1";1;"Lucija_Zarina";"basic_ZP";"Participant";"meadow";"no";"no";"no";"exp_average";"s";"DAP";18;"162.0209961";162;0;"39.5";"39.5";"39.5";"bad";"na";7;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;16;1;6,8
3611;2024;20240621;"6741_4";6741;"rez";"24_6741_4_b";"24_6741_4";"24_6741_4_b_1";"M_Medne";"exp1";1;"Lucija_Zarina";"basic_ZP";"Participant";"meadow";"no";"no";"no";"exp_average";"s";"DAP";39;"354.9190063";355;0;"34";"34";"34";"bad";"na";9;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;15;1;6,4
3761;2024;20240625;"6808_1";6808;"komb";"24_6808_1_b";"24_6808_1";"24_6808_1_b_1";"M_Medne";"exp1";1;"Karlis_ Hermanis_Liepa";"basic_ZP";"Participant";"pasture";"no";"no";"no";"exp_average";"s";"DAP";39;"354.3729858";354;-5;"35.5";"35.5";"30.5";"bad";"na";16;0;1;1;1;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;1;1;1;1;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;18;1;6,3
3811;2024;20240701;"6820";6820;"rez";"24_6820_b";"24_6820";"24_6820_b_1";"M_Medne";"exp1";1;"Lielkruzes";"basic_ZP";"Participant";"pasture";"no";"no";"no";"exp_average";"s";"DAP";15;"130.8609924";131;15;"24";"24";"39";"bad";"na";7;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;13;1;4,7
3921;2024;20240621;"6892_1";6892;"rez";"24_6892_1_b";"24_6892_1";"24_6892_1_b_1";"M_Medne";"exp1";1;"Sandra_Dzene";"basic_ZP";"Participant";"meadow";"no";"no";"no";"exp_bad";"s";"DAP";33;"297.0230103";297;0;"23";"23";"23";"bad";"na";1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;1;4,5
3931;2024;20240621;"6892_2";6892;"rez";"24_6892_2_b";"24_6892_2";"24_6892_2_b_1";"M_Medne";"exp1";1;"Sandra_Dzene";"basic_ZP";"Participant";"meadow";"no";"no";"no";"exp_bad";"s";"DAP";44;"398.5759888";399;0;"21";"21";"21";"bad";"na";1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;1;4,2
4061;2024;20240620;"6905_4";6905;"komb";"24_6905_4_b";"24_6905_4";"24_6905_4_b_1";"M_Medne";"exp1";1;"Pupoli";"basic_ZP";"Participant";"meadow";"no";"no";"no";"exp_average";"s";"DAP";56;"506.6159973";507;-15;"39.5";"39.5";"24.5";"bad";"na";11;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;1;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;1;7,3
4071;2024;20240620;"6905_5";6905;"komb";"24_6905_5_b";"24_6905_5";"24_6905_5_b_1";"M_Medne";"exp1";1;"Pupoli";"basic_ZP";"Participant";"meadow";"no";"no";"no";"exp_average";"s";"DAP";40;"363.9670105";364;-5;"28.5";"28.5";"23.5";"bad";"na";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;16;1;5,5
