Nrpk;Year;Date;Releve_area;Polig_nr;Manag_impact;Nr_4digitcode;Approach;Uniq_no;Uniq_Rprog;Unipntno;Eksp_spp;Eksp_group;Mont_pnt;Eksp_str;Address;Rel_type;Status;Usage;Ul_mown;Ul_graz;Ul_aftmh;Ul_strgraz;Exp_opin;Statuslet;Luordap;Shr_score;Litt_score;Sur_score;Mos_score;Exp_score;Swrd_score;Pastr_scor;Imp_score;Str_score;Spp_scortotal;Spp_score50;Totl_score;Gr_qualit_exp;Aegoppod;Alopepra;Anthrsyl;Calamepi;Cirsiarv;Chaeraro;Dactyglo;Elytrrep;Filipulm;Heracsos;Loliuper;Lupinpol;Ranunrep;Solidcan;Taraxoff;Trifohyb;Trifomed;Agrimonia eupatoria ;Alchemilla vulgaris ;Briza media ;Campanula spp.;Carex panicea;Carlina vulgaris;Centaurea spp.;Cirsium heterophyllum;Cirsium oleraceum;Dactylorhiza spp.;Dianthus deltoides;Fragaria spp.;Galium boreale;Galium spp.;Galium verum;Geranium spp. ;Geum spp.;Hypericum spp.;Inula salicina;Knautia arvensis;Lathyrus spp., Lotus spp.;Leontodon hispidus/danubialis;Leucanthemum vulgare;Listera ovata;Lychnis flos-cuculi;Lythrum salicaria;Medicago lupulina;Melampyrum spp.;Pilosella, Hieracium species ;Pimpinella saxifraga;Plantago media;Platanthera spp.;Polygala spp.;Potentilla argentea ;Potentilla erecta;Primula veris ;Rhinanthus spp.;Scirpus sylvaticus;Sedum acre;Solidago virgaurea;Succisa pratensis;Thalictrum spp.;Thymus spp. ;Tragopogon pratensis;Trifolium dzelteniem z.;Trifolium montanum;Trollius europaeus;Valeriana officinalis;Veronica longifolia;Viscaria vulgaris 
2078;2023;20230627;12.6;6978_k;no;6978;kontr;23_6978_k_b;23_6978_k;23_6978_k_b_7;S_Rusina;Rusina;7;S_Rusina;Ligita_Taunina_kontr;basic_ZP;Control;meadow;na;na;no;no;na;k;LU;10;-10;-10;0;-10;-5;na;0;-25;23;23;-2;very_bad;1;0;1;0;0;0;4;2;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
2079;2023;20230627;12.6;6978_k;no;6978;kontr;23_6978_k_b;23_6978_k;23_6978_k_b_8;S_Rusina;Rusina;8;S_Rusina;Ligita_Taunina_kontr;basic_ZP;Control;meadow;na;na;no;no;na;k;LU;10;-10;-10;0;-10;-5;na;0;-25;23;23;-2;very_bad;1;0;1;0;0;0;4;2;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2080;2023;20230627;12.6;6978_k;no;6978;kontr;23_6978_k_b;23_6978_k;23_6978_k_b_9;S_Rusina;Rusina;9;S_Rusina;Ligita_Taunina_kontr;basic_ZP;Control;meadow;na;na;no;no;na;k;LU;10;-10;-10;0;-10;-5;na;0;-25;23;23;-2;very_bad;1;0;1;0;0;0;4;2;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0
2751;2024;20240719;12.6;6408_k;no;6408;kontr;24_6408_k_b;24_6408_k;24_6408_k_b_1;J_Saulitis;Saulitis;1;J_Saulitis;HansaBio_SIA_kontr;basic_ZP;Control;meadow;no;no;no;na;exp_bad;k;DAP;10;0;0;0;-10;-5;na;-10;-15;13.5;13.5;-1.5;very_bad;2;0;1;2;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2752;2024;20240719;12.6;6408_k;no;6408;kontr;24_6408_k_b;24_6408_k;24_6408_k_b_10;J_Saulitis;Saulitis;10;J_Saulitis;HansaBio_SIA_kontr;basic_ZP;Control;meadow;no;no;no;na;exp_bad;k;DAP;10;0;0;0;-10;-5;na;-10;-15;13.5;13.5;-1.5;very_bad;2;0;1;2;0;0;3;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2753;2024;20240719;12.6;6408_k;no;6408;kontr;24_6408_k_b;24_6408_k;24_6408_k_b_2;J_Saulitis;Saulitis;2;J_Saulitis;HansaBio_SIA_kontr;basic_ZP;Control;meadow;no;no;no;na;exp_bad;k;DAP;10;0;0;0;-10;-5;na;-10;-15;13.5;13.5;-1.5;very_bad;2;0;1;2;0;0;3;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2754;2024;20240719;12.6;6408_k;no;6408;kontr;24_6408_k_b;24_6408_k;24_6408_k_b_3;J_Saulitis;Saulitis;3;J_Saulitis;HansaBio_SIA_kontr;basic_ZP;Control;meadow;no;no;no;na;exp_bad;k;DAP;10;0;0;0;-10;-5;na;-10;-15;13.5;13.5;-1.5;very_bad;2;0;1;2;0;0;3;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2755;2024;20240719;12.6;6408_k;no;6408;kontr;24_6408_k_b;24_6408_k;24_6408_k_b_4;J_Saulitis;Saulitis;4;J_Saulitis;HansaBio_SIA_kontr;basic_ZP;Control;meadow;no;no;no;na;exp_bad;k;DAP;10;0;0;0;-10;-5;na;-10;-15;13.5;13.5;-1.5;very_bad;2;0;1;2;0;0;3;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2756;2024;20240719;12.6;6408_k;no;6408;kontr;24_6408_k_b;24_6408_k;24_6408_k_b_5;J_Saulitis;Saulitis;5;J_Saulitis;HansaBio_SIA_kontr;basic_ZP;Control;meadow;no;no;no;na;exp_bad;k;DAP;10;0;0;0;-10;-5;na;-10;-15;13.5;13.5;-1.5;very_bad;2;0;1;2;0;0;3;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2757;2024;20240719;12.6;6408_k;no;6408;kontr;24_6408_k_b;24_6408_k;24_6408_k_b_6;J_Saulitis;Saulitis;6;J_Saulitis;HansaBio_SIA_kontr;basic_ZP;Control;meadow;no;no;no;na;exp_bad;k;DAP;10;0;0;0;-10;-5;na;-10;-15;13.5;13.5;-1.5;very_bad;2;0;1;2;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
